,content,id,lat,location,lon,time,user,user_id
0,"Pineapple belongs on pizza, change my mind https://t.co/91Gi9A7CjM",971571129486921728,,"Boston, MA",,2018-03-08 02:19:42,willeckhart,594108764
10,@MichaelMatteoRo Higher us @wsmtalent  @reynoldstwins_1234,971571120255262720,,"Boston, MA",,2018-03-08 02:19:40,reynoldstwins2,913116772215267328
1000,7/ Here is the link to that story https://t.co/CXM4xMs72u,971570056088997888,,"Boston, MA",,2018-03-08 02:15:26,UsVsThemBlog,796865340001157120
1001,"6/ The problem is, she didn’t. The Washington Post did. Three weeks earlier on April 3, 2017.",971570054721626112,,"Boston, MA",,2018-03-08 02:15:26,UsVsThemBlog,796865340001157120
1002,5/ This wouldn’t be bad and I’d actually give it to Louise and Laufer as close enough if she had indeed reported it first,971570053199093760,,"Boston, MA",,2018-03-08 02:15:26,UsVsThemBlog,796865340001157120
1004,@EMMAlutionWWE_ Which is perfectly fine with me because you know I love surprises.,971570051798175744,,"Boston, MA",,2018-03-08 02:15:25,LegitBoss4Life,898661208974295040
1005,RT @YaGirl_Erin: Check out the rest of my photos of @Themowglis and @mainland killer show in Boston ! https://t.co/xiRRaPKpIY,971570051571691520,,,,2018-03-08 02:15:25,updatesmainland,930661724126089216
1006,4/ Instead it refers to a meeting the day before between Prince and “a Russian agent”,971570051563376640,,"Boston, MA",,2018-03-08 02:15:25,UsVsThemBlog,796865340001157120
1007,And the Irish comeback to cover $$ ☘️☘️☘️ @ShelbyGray_,971570050896416768,,"Boston, MA",,2018-03-08 02:15:25,Stillmansion,437110674
1008,@JenniferJokes I could do it but we would just end up laughing too much.,971570050225377280,,"Boston, MA",,2018-03-08 02:15:25,JGrasseySr,2873190905
1009,Way to go @MassGeneralNews ------&gt; https://t.co/89bO2Cud0r,971570050128900096,,"Boston, MA",,2018-03-08 02:15:25,francywade,21680537
101,RT @SusanneAlthoff: .@leung sizes up the year since #Fearlessgirl statue debuted: 152 companies with all-male boards have added at least 1…,971571002357329920,,Arizona,,2018-03-08 02:19:12,WritingReader,328281085
1010,3/ The article nowhere in it mentions Dmitriev,971570049998835712,,"Boston, MA",,2018-03-08 02:15:25,UsVsThemBlog,796865340001157120
1011,@Linnearity It’s cold and windy out. These ladies should be keeping their babies at home!,971570049717858304,,"Boston, MA",,2018-03-08 02:15:25,kimberryma,261739845
1013,"RT @xaviervel: Q1 
It also goes without mention but preeclamspia -being one of the most interesting syndromes in my personal opinion- is st…",971570048740548608,,"Chicago, IL",,2018-03-08 02:15:25,TWhittier_RUSH,803051570397118464
