,content,id,lat,location,lon,time,user,user_id
0,Display your talent and photographic savvy! #share #storm https://t.co/Cvcf4gxJob,971809303421227008,,"Boston, MA",,2018-03-08 18:06:07,mschairernews,101613447
1,Crews Race To Repair Seawall On Duxbury-Marshfield Line https://t.co/gSRjDAExvD https://t.co/8X42sreqmQ,971808816647081984,,"Boston, MA",,2018-03-08 18:04:11,977RnB,815975843314991104
10,Crews Race To Repair Seawall On Duxbury-Marshfield Line https://t.co/lFRjcEy0lm https://t.co/EjMYBLmbCF,971805743442784256,,"Boston, MA",,2018-03-08 17:51:59,wzlx,19079788
100,@ChasDBoyle @Salon No one has made that statement. The severity of the storm could be debated as a result of climate change.,971781041328394240,,"Boston, MA",,2018-03-08 16:13:49,jwyman1973,2913858016
1001,Here comes another storm https://t.co/NpdWsi8LWk,971563640330563584,,"Boston, MA",,2018-03-08 01:49:57,jamesadonner,16158953
1004,"STORM UPDATE: We will be opening under normal hours tomorrow morning (Thursday, March 8th). 

If changes to our nor… https://t.co/FqTxULvqJX",971563302357819392,,"Cambridge, MA",,2018-03-08 01:48:36,CambridgeYMCA,92063367
1006,@netblazr service is seizing up here in Somerville (9 Mpbs down/41 up) - I assume storm related problems,971563117409964032,,"Somerville, MA",,2018-03-08 01:47:52,planet4589,19355829
1007,Dry slot punching into Cape Cod will mean lighter precip there for a while as storm pivots around https://t.co/xi4lshgCk6,971563020718628864,,"Boston, MA",,2018-03-08 01:47:29,TerryWBZ,48377323
1009,Winter Storm Quinn https://t.co/gUmaM2gr51,971562717638209536,,"Boston, MA",,2018-03-08 01:46:17,InnuendoStudios,255087111
1013,The Rising Storm - Frozen Laughter,971562201210327040,,"Boston, MA",,2018-03-08 01:44:14,WZBC_Live,275042849
1015,Track the storm with our interactive radar: https://t.co/2cXXNHepeg https://t.co/ioVn33nRX5,971561992958988288,,"Boston, MA",,2018-03-08 01:43:24,NBC10Boston,4746090250
1016,"At this point, the whole pee pee incident may have been the only “sanitary” thing @realDonaldTrump has ever done, m… https://t.co/IJ8fpeixzi",971561667812261888,,"Boston, MA",,2018-03-08 01:42:07,dino246gts,15855941
1019,Track the storm with our interactive radar: https://t.co/RCWwSIxjOZ https://t.co/itg0Pk4bLp,971561315973070848,,"Boston, MA",,2018-03-08 01:40:43,NECN,9907172
102,"#poet #poets #sedserio

What am I?
But a wounded storm
Slow, cold winds of apathy
Yet, I boast in having the heart… https://t.co/o4idx622aN",971780872042053632,,"Boston, MA",,2018-03-08 16:13:09,MGPoetry,1594724773
1024,Water crashed into the shoreline of Lynn during Wednesday's nor'easter. More on the storm https://t.co/8YZ17frirZ,971560698768740352,,"Boston, MA",,2018-03-08 01:38:15,Boston_CP,70291924
1025,This band of insane snow has been stationary over this area for hours.  Some areas have received more than 2 feet!… https://t.co/7mAbjVwx5b,971560675167408128,,"Boston, MA",,2018-03-08 01:38:10,TerryWBZ,48377323
1026,"Oh dear lord, NationalGrid, you don't need to leave me a VM advert about how well prepared you are for the storm.",971560606020128768,,"Boston, MA",,2018-03-08 01:37:53,kenjimallon,15147906
1028,"Good evening WPS Community:  This storm has proven to be quite unpredictable and as such, any decision about the... https://t.co/rDu9OsIjjH",971560464688779264,,"Watertown, MA",,2018-03-08 01:37:20,watertownschool,2202128251
103,#HarvardSailingClub on #MemorialDrive is listing to one side after springing a leak during the #storm. It's a barge… https://t.co/1Uj9V6kvfT,971780536833323008,,"Boston, MA",,2018-03-08 16:11:49,KimWBZ,534392656
1032,Is Bucknell practicing a court-storm while up 14 of the #Patriot league title game at halftime??,971559461885304832,,"Boston, MA",,2018-03-08 01:33:21,KevinPWinter,1006696682
1036,Working in the middle of the storm! 😡 https://t.co/VoSMjHFPJ1,971558716209336320,,"Boston, MA",,2018-03-08 01:30:23,LandonOLeary,113921816
1037,"Taylor Fenton, 17, and her family, already dealing with a lot, are now picking up the pieces of what was left of th… https://t.co/497e2FnDSn",971558620054851584,,"Boston, MA",,2018-03-08 01:30:00,WBUR,2996801
1038,the mood for tonight is journaling and writing with all your gals in your living room in the midst of a big storm l… https://t.co/z6CgpbMEVX,971558579001004032,,"Boston, MA",,2018-03-08 01:29:50,wroseworse,2794077662
1042,"Whoa.. thunder and lightning snow storm in Framingham, freaky! @HarveyWCVB @MetMikeWCVB",971558330828296192,,"Boston, MA",,2018-03-08 01:28:51,annec8990,1395824270
1044,I'll bet: Republicans flee the storm over Stormy Daniels and President Trump https://t.co/19o1QSIHkS,971557982000635904,,"Cambridge, MA",,2018-03-08 01:27:28,deborahblum,72842277
1049,State of Emergency declared in Pound Ridge as of 7:45pm. Ambulance/Fire/Police only responding to life-threatening… https://t.co/dEs6WBSmrn,971557291202957312,,"Somerville, MA",,2018-03-08 01:24:43,lukwam,6652872
1052,"@Dracaenawines #Quirk: Going through a confusing storm near Boston. Not sure how to dress, honestly. #foodtravelchat https://t.co/YppADz7ZUp",971557151427780608,,"Boston, MA",,2018-03-08 01:24:10,SGSwritereditor,256289671
